Date,Unnamed: 0,Close,High,Low,Open,Volume,return_1d,return_5d,return_10d,volatility_5d,volatility_10d,sma_5,sma_10,target
2024-01-17,10,462.258056640625,462.7474360984551,459.8894469222123,461.79803875549055,68843900,-0.005558648106633313,-0.0033551856083572362,-0.0007616029667750768,0.004325098073342386,0.006342543045262204,465.2647705078125,462.8824768066406,1
2024-01-18,11,466.3687744140625,466.9266741027258,462.3852487700652,463.94147168895626,91856200,0.00889269038015561,-0.00014694896395761603,0.016425187091549498,0.005570633383854621,0.006212148195052228,465.2510620117188,463.63611755371096,1
2024-01-19,12,472.1826477050781,472.4664961487431,466.417773331442,467.50418137026986,110834500,0.012466257626960742,0.012763685434067584,0.032421649459840385,0.007849571365355185,0.006799038027975243,466.44122924804685,465.1189361572266,1
2024-01-22,13,473.1810302734375,474.9134228764255,472.5252486289505,473.7291329004626,75844900,0.0021143991063876655,0.014202647620872977,0.0331895193460543,0.007790341990188634,0.006780613354024759,467.76649169921876,466.6389526367187,1
2024-01-23,14,474.5610046386719,474.80569435270064,472.63287836670105,473.72908350645395,49945300,0.002916377193812991,0.02090830052453585,0.021618110552291014,0.006920536152900194,0.00558128957891152,469.710302734375,467.6431549072266,1
2024-01-24,15,475.0797729492187,478.387952774823,474.5805963770956,477.4483526414292,81765000,0.001093154105533456,0.027737139730507065,0.024288890870109103,0.004939552754655393,0.005449959200918628,472.27464599609374,468.76970825195315,1
2024-01-25,16,477.6637268066406,477.93777811650847,475.0798187235087,477.22327333358226,72525000,0.005438989417253293,0.02421892933712999,0.024068421426598263,0.004573861517762125,0.005436075769560578,474.53363647460935,469.89234924316406,0
2024-01-26,17,477.0569152832031,478.73058476596105,476.2053997545957,477.23308472994535,76641600,-0.001270373883096032,0.010322843505188306,0.023218286466541116,0.0024586622742367985,0.00549022232017842,475.50848999023435,470.9748596191406,1
2024-01-29,18,480.83489990234375,480.9817376407195,476.82201209206994,477.3701147159909,61322800,0.00791935825287804,0.01617535179819729,0.030607732240803598,0.0035981592048953746,0.005724105057198661,477.0392639160156,472.4028778076172,0
2024-01-30,19,480.46295166015625,481.1774265123715,479.69949107392625,480.1399445091589,58618400,-0.000773546683618509,0.012436645581484385,0.03360497522935524,0.004028536859087804,0.005411790074171252,478.2196533203125,473.96497802734376,0
2024-01-31,20,472.62310791015625,478.6913952391512,472.6035136155435,478.24117450333114,126011100,-0.016317270089006408,-0.005171057954776459,0.02242265141868449,0.009430783117839434,0.007880268015779825,477.7283203125,475.00148315429686,1
2024-02-01,21,478.8088684082031,478.8382299805873,473.5235464242378,474.33593304245267,91891600,0.013088146547465707,0.002397380285118489,0.026674371605968084,0.01119241648290409,0.008369815263826295,477.9573486328125,476.24549255371096,1
2024-02-02,22,483.8494873046875,485.5133595788127,478.9067367427997,479.24930834520416,99228200,0.010527413398256025,0.014238493990705425,0.0247083192411095,0.01193699619326086,0.008136823940048525,479.31586303710935,477.41217651367185,0
2024-02-05,23,482.087646484375,483.8787918579077,479.8169487149502,483.21324302668575,75757100,-0.0036412993431633733,0.0026053570202280163,0.018822851384787453,0.011838220957744084,0.008365418511955403,479.5664123535156,478.30283813476564,1
2024-02-06,24,483.4873352050781,483.82010964884154,481.59830781553234,483.0370846023235,55918600,0.0029033905575268637,0.006294727896233532,0.018809658777595217,0.011847577112429005,0.008365243873612843,480.1712890625,479.1954711914062,1
2024-02-07,25,487.5198364257813,487.9406956034412,484.8380166056108,485.74828512507054,70556500,0.008340448502115905,0.031519255546973435,0.02618520969507232,0.006679518741166912,0.008598567270493096,483.150634765625,480.4394775390625,1
2024-02-08,26,487.7351684570313,488.1168689165043,486.69768635676235,487.5198402926725,52343600,0.0004416887584075546,0.01864272079693019,0.021084794773348126,0.005772611287293084,0.008561765897354641,484.93589477539064,481.4466217041016,1
2024-02-09,27,490.5539855957031,490.9944091907351,487.9015274006516,488.2440989985779,63979400,0.005779401037635301,0.013856578268509612,0.028292369065622935,0.004653757556688301,0.008541635600574202,486.27679443359375,482.79632873535155,0
2024-02-12,28,490.3386535644531,492.8051152852079,489.6143516538678,490.5246201484485,56502300,-0.00043895684791661616,0.01711515974376976,0.019765107865588716,0.003667603502683094,0.008395635598433442,487.9269958496094,483.7467041015625,0
2024-02-13,29,483.585205078125,486.53127905269594,480.2965893692246,484.0256585499092,113099200,-0.013773028981571844,0.0002024248949672458,0.006498427000833917,0.008558975107824697,0.009765824722060699,487.9465698242187,484.0589294433594,1
2024-02-14,30,487.9797973632813,488.4691767786037,483.8983598969783,486.2376078395072,68387800,0.009087524264615121,0.0009434712254421385,0.03249246428307173,0.00874397155643766,0.007993207817270089,488.03856201171874,485.5945983886719,1
2024-02-15,31,491.3467712402344,491.53273782316427,488.2049336250616,488.6845458033632,61683000,0.006899822277778522,0.0074048438922880155,0.026185611126446906,0.009247516511188048,0.007359767323911929,488.76088256835936,486.848388671875,0
2024-02-16,32,488.8998718261719,492.1884874206572,488.1560054976972,491.0433562248227,75532900,-0.004979984722167097,-0.003371930140415813,0.01043792471418703,0.009257780241387757,0.007137163764232554,488.4300598144531,487.3534271240234,0
